Hand Type                  , Combinatoric Expression                 , Count   , Percent
7-card straight-flush      , 4*(13-7+1)                              ,       28, 0.000021%
Quad set (4 + 3)           , (13C1)*(4C4)*(12C1)*(4C3)               ,      624, 0.000466%
6-card straight-flush      , 4*[2*(46C1)+6*(46C2)]                   ,     1416, 0.001058%
7-card flush               , 4*(13C7)                                ,     6864, 0.005131%
5-card straight-flush      , "Derived via IE (see notes)"            ,    36000, 0.026909%
Quad House (4 + 2 + 1)     , (13C1)*(4C4)*(12C1)*(4C2)*(11C1)*(4C1)  ,    41184, 0.030784%
Super set (3 + 3 + 1)      , (13C2)*(4C3)^2*(11C1)*(4C1)             ,    54912, 0.041045%
7-card straight            , (13-7+1)*4^7                            ,   114688, 0.085726%
Mega full house (3 + 2 + 2), (13C1)*(4C3)*(12C2)*(4C2)^2             ,   123552, 0.092351%
Quads (4 + 1 + 1 + 1)      , (13C1)*(4C4)*(12C3)*(4C1)^3             ,   183040, 0.136817%
6-card flush               , 4*(13C6)*39                             ,   267696, 0.200095%
6-card straight            , "N≥6 - N≥7 (inclusion-exclusion)"       ,  1277952, 0.955231%
3 pair (2 + 2 + 2 + 1)     , (13C3)*(4C2)^3*(10C1)*(4C1)             ,  2471040, 1.847029%
Full House (3 + 2 + 1 + 1) , (13C1)*(4C3)*(12C1)*(4C2)*(11C2)*(4C1)^2,  3294720, 2.462706%
5-card flush               , 4*(13C5)*(39C2)                         ,  3814668, 2.851351%
Trips (3 + 1 + 1 + 1 + 1)  , (13C1)*(4C3)*(12C4)*(4C1)^4             ,  6589440, 4.925411%
5-card straight            , "N≥5 - N≥6 (inclusion-exclusion)"       ,  7062528, 5.279031%
2 pair (2 + 2 + 1 + 1 + 1) , (13C2)*(4C2)^2*(11C3)*(4C1)^3           , 29652480, 22.164351%
1 pair                     , (13C1)*(4C2)*(12C5)*(4C1)^5             , 63258624, 47.283950%
Nothing                    , "1,520*15,540 (see notes)"              , 23620800, 17.655849%
